year,catch,country
1950,32600,Mainland
1951,32600,Mainland
1952,35600,Mainland
1953,60000,Mainland
1954,59900,Mainland
1955,62500,Mainland
1956,65100,Mainland
1957,65600,Mainland
1958,65600,Mainland
1959,70500,Mainland
1960,70800,Mainland
1961,73100,Mainland
1962,73300,Mainland
1963,79000,Mainland
1964,103000,Mainland
1965,104700,Mainland
1966,104200,Mainland
1967,131000,Mainland
1968,155600,Mainland
1969,154200,Mainland
1970,191220,Mainland
1971,183601,Mainland
1972,158026,Mainland
1973,164192,Mainland
1974,174826,Mainland
1975,212076,Mainland
1976,233744,Mainland
1977,272541,Mainland
1978,213484,Mainland
1979,182832,Mainland
1980,231192,Mainland
1981,233897,Mainland
1982,230873,Mainland
1983,242766,Mainland
1984,280894,Mainland
1985,304766,Mainland
1986,313968,Mainland
1987,346463,Mainland
1988,397528.31,Mainland
1989,380683.03,Mainland
1990,417018.2,Mainland
1991,329379.75,Mainland
1992,333783.31,Mainland
1993,335050.36,Mainland
1994,292021.08,Mainland
1995,363355,Mainland
1996,327516.2,Mainland
1997,360753.17,Mainland
1998,352154.89,Mainland
1999,314750.01,Mainland
2000,327264,Mainland
2001,341987.74,Mainland
2002,329057,Mainland
2003,354689.75,Mainland
2004,364244.68,Mainland
2005,375842,Mainland
2006,336364,Mainland
2007,426666,Mainland
2008,326286,Mainland
2009,334954,Mainland
2010,351391,Mainland
2011,348908,Mainland
2012,379425,Mainland
2013,380260,Mainland
2014,342012,Mainland
2015,375450.24,Mainland
2016,371153,Mainland
2017,389026,Mainland
2018,375755,Mainland
1950,0,Zanzibar
1951,0,Zanzibar
1952,0,Zanzibar
1953,0,Zanzibar
1954,0,Zanzibar
1955,0,Zanzibar
1956,0,Zanzibar
1957,0,Zanzibar
1958,0,Zanzibar
1959,0,Zanzibar
1960,0,Zanzibar
1961,0,Zanzibar
1962,0,Zanzibar
1963,0,Zanzibar
1964,0,Zanzibar
1965,0,Zanzibar
1966,0,Zanzibar
1967,0,Zanzibar
1968,0,Zanzibar
1969,0,Zanzibar
1970,0,Zanzibar
1971,0,Zanzibar
1972,0,Zanzibar
1973,0,Zanzibar
1974,0,Zanzibar
1975,0,Zanzibar
1976,0,Zanzibar
1977,0,Zanzibar
1978,0,Zanzibar
1979,0,Zanzibar
1980,0,Zanzibar
1981,0,Zanzibar
1982,0,Zanzibar
1983,0,Zanzibar
1984,0,Zanzibar
1985,0,Zanzibar
1986,0,Zanzibar
1987,0,Zanzibar
1988,0,Zanzibar
1989,0,Zanzibar
1990,0,Zanzibar
1991,0,Zanzibar
1992,0,Zanzibar
1993,0,Zanzibar
1994,0,Zanzibar
1995,0,Zanzibar
1996,0,Zanzibar
1997,0,Zanzibar
1998,0,Zanzibar
1999,0,Zanzibar
2000,17922,Zanzibar
2001,20541,Zanzibar
2002,20341,Zanzibar
2003,20859,Zanzibar
2004,23488,Zanzibar
2005,23210,Zanzibar
2006,24418,Zanzibar
2007,23580,Zanzibar
2008,24514,Zanzibar
2009,25394,Zanzibar
2010,25690,Zanzibar
2011,28757,Zanzibar
2012,29810,Zanzibar
2013,30712,Zanzibar
2014,32872,Zanzibar
2015,34103,Zanzibar
2016,33893,Zanzibar
2017,35057,Zanzibar
2018,35440,Zanzibar
