year,catch,species,scientific_name,english_name
1950,0,DOT,Gymnosarda unicolor,Dogtooth tuna
1951,3,DOT,Gymnosarda unicolor,Dogtooth tuna
1952,3,DOT,Gymnosarda unicolor,Dogtooth tuna
1953,3,DOT,Gymnosarda unicolor,Dogtooth tuna
1954,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1955,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1956,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1957,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1958,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1959,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1960,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1961,4,DOT,Gymnosarda unicolor,Dogtooth tuna
1962,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1963,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1964,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1965,5,DOT,Gymnosarda unicolor,Dogtooth tuna
1966,6,DOT,Gymnosarda unicolor,Dogtooth tuna
1967,6,DOT,Gymnosarda unicolor,Dogtooth tuna
1968,6,DOT,Gymnosarda unicolor,Dogtooth tuna
1969,7,DOT,Gymnosarda unicolor,Dogtooth tuna
1970,188,DOT,Gymnosarda unicolor,Dogtooth tuna
1971,100,DOT,Gymnosarda unicolor,Dogtooth tuna
1972,122,DOT,Gymnosarda unicolor,Dogtooth tuna
1973,144,DOT,Gymnosarda unicolor,Dogtooth tuna
1974,150,DOT,Gymnosarda unicolor,Dogtooth tuna
1975,142,DOT,Gymnosarda unicolor,Dogtooth tuna
1976,227,DOT,Gymnosarda unicolor,Dogtooth tuna
1977,274,DOT,Gymnosarda unicolor,Dogtooth tuna
1978,527,DOT,Gymnosarda unicolor,Dogtooth tuna
1979,314,DOT,Gymnosarda unicolor,Dogtooth tuna
1980,389,DOT,Gymnosarda unicolor,Dogtooth tuna
1981,540,DOT,Gymnosarda unicolor,Dogtooth tuna
1982,634,DOT,Gymnosarda unicolor,Dogtooth tuna
1983,466,DOT,Gymnosarda unicolor,Dogtooth tuna
1984,504,DOT,Gymnosarda unicolor,Dogtooth tuna
1985,310,DOT,Gymnosarda unicolor,Dogtooth tuna
1986,288,DOT,Gymnosarda unicolor,Dogtooth tuna
1987,665,DOT,Gymnosarda unicolor,Dogtooth tuna
1988,271,DOT,Gymnosarda unicolor,Dogtooth tuna
1989,311,DOT,Gymnosarda unicolor,Dogtooth tuna
1990,452,DOT,Gymnosarda unicolor,Dogtooth tuna
1991,421,DOT,Gymnosarda unicolor,Dogtooth tuna
1992,507,DOT,Gymnosarda unicolor,Dogtooth tuna
1993,890,DOT,Gymnosarda unicolor,Dogtooth tuna
1994,673,DOT,Gymnosarda unicolor,Dogtooth tuna
1995,730,DOT,Gymnosarda unicolor,Dogtooth tuna
1996,958,DOT,Gymnosarda unicolor,Dogtooth tuna
1997,840,DOT,Gymnosarda unicolor,Dogtooth tuna
1998,899,DOT,Gymnosarda unicolor,Dogtooth tuna
1999,881,DOT,Gymnosarda unicolor,Dogtooth tuna
2000,1253,DOT,Gymnosarda unicolor,Dogtooth tuna
2001,1483,DOT,Gymnosarda unicolor,Dogtooth tuna
2002,1451,DOT,Gymnosarda unicolor,Dogtooth tuna
2003,1449,DOT,Gymnosarda unicolor,Dogtooth tuna
2004,1453,DOT,Gymnosarda unicolor,Dogtooth tuna
2005,1584,DOT,Gymnosarda unicolor,Dogtooth tuna
2006,1522,DOT,Gymnosarda unicolor,Dogtooth tuna
2007,1663,DOT,Gymnosarda unicolor,Dogtooth tuna
2008,1734,DOT,Gymnosarda unicolor,Dogtooth tuna
2009,1969,DOT,Gymnosarda unicolor,Dogtooth tuna
2010,2042,DOT,Gymnosarda unicolor,Dogtooth tuna
2011,2252,DOT,Gymnosarda unicolor,Dogtooth tuna
2012,1638,DOT,Gymnosarda unicolor,Dogtooth tuna
2013,1716,DOT,Gymnosarda unicolor,Dogtooth tuna
2014,1511,DOT,Gymnosarda unicolor,Dogtooth tuna
